feature,OR,CI_low,CI_high,p_value
const,0.6083599877415228,,,
age,1.03662329833123,,,
BMI,0.9199018780668438,,,
LVEF,0.9134314746812351,,,
heart_rate,1.0294263927135612,,,
heart_rhythm,3.513081526306023,,,
LAd,1.3154188622304623,,,
AC,1.6061487715483227,,,
antiHER2,2.2617931577873467,,,
ACprev,9.342973614624617,,,
antiHER2prev,1.369401180225415,,,
HTA,1.7625251018060057,,,
DL,1.9760946115776998,,,
DM,0.34235500626697823,,,
smoker,2.6847599076462187,,,
exsmoker,0.03231253229262057,,,
RTprev,0.3946152238021776,,,
CIprev,0.7035295877048292,,,
ICMprev,0.5470663891421442,,,
ARRprev,1.662158735751785,,,
VALVprev,4.182632065768293,,,
cxvalv,2.417080244841665,,,
comorbidity_score,0.6690087593269034,,,
